N,Empresa,Cidade,Atividade,Responsável,Número,E-mail,Instagram,CNPJ,Site,Endereço,Nota,Maps
1,Clínica Odontológica Odontocor - Dentista Centro Rj | Especialista em Tratamento de Canal,Rio de Janeiro,Clínica odontológica,,+55 21 99601-8629,,@odontocor_odontologia,,https://www.dentistacentrodorio.com.br/,"Av. Pres. Vargas, 633 - sala 402 - Centro, Rio de Janeiro - RJ, 20071-905, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Odontol%C3%B3gica%20Odontocor%20-%20Dentista%20Centro%20Rj%20%7C%20Especialista%20em%20Tratamento%20de%20Canal&query_place_id=ChIJrXLZstZ_mQAR2u4_MmXUpOc
2,Clínica Sorrio | Implante Dentário | Dentista de emergência | Clínica odontológica | Copacabana | Rio de Janeiro - RJ,Rio de Janeiro,Clínica odontológica,Fernando Guandalini,+55 21 3959-5277,sp.yervant@sorridents.com.br,@clinicasorrio,33.448.946/0001-74,https://www.sorrio.com.br/,"R. Barata Ribeiro, 529 - Loja A - Copacabana, Rio de Janeiro - RJ, 22041-011, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Sorrio%20%7C%20Implante%20Dent%C3%A1rio%20%7C%20Dentista%20de%20emerg%C3%AAncia%20%7C%20Cl%C3%ADnica%20odontol%C3%B3gica%20%7C%20Copacabana%20%7C%20Rio%20de%20Janeiro%20-%20RJ&query_place_id=ChIJvXC4uETVmwARGQfGO_vhQMM
3,Clínica Odontológica Oral 360 Copacabana | Dentista,Rio de Janeiro,Clínica odontológica,Marcos Aparecido Goncalves Bessa,+55 21 99813-3001,diretoria@oral360.com.br,,40.187.161/0001-50,http://www.oral360.com.br/,"R. Figueiredo de Magalhães, 226 - Sobreloja, sala 201 a 205 - Copacabana, Rio de Janeiro - RJ, 22031-012, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Odontol%C3%B3gica%20Oral%20360%20Copacabana%20%7C%20Dentista&query_place_id=ChIJ8-OA-F3VmwAR4aR4wxSvYcs
4,"Dentistas no Centro do Rio de Janeiro - Clínica Odonto Central - Clinica geral, Odontopediatria e Ortodontia",Rio de Janeiro,Clínica odontológica,Michelle Diamante,+55 21 2533-4955,contabilidade@mottamesquita.com,,21.743.633/0001-60,,"Shopping Avenida Central - Av. Rio Branco, 156 - 839 - Centro, Rio de Janeiro - RJ, 20040-003, Brasil",4.3,https://www.google.com/maps/search/?api=1&query=Dentistas%20no%20Centro%20do%20Rio%20de%20Janeiro%20-%20Cl%C3%ADnica%20Odonto%20Central%20-%20Clinica%20geral%2C%20Odontopediatria%20e%20Ortodontia&query_place_id=ChIJ-19QfGB_mQARmcbVBpY3WHA
5,Centro Odontológico Carioca | Dentista Centro RJ,Rio de Janeiro,Clínica odontológica,Nilson Ignacio Dos Santos,+55 21 99679-0295,rncs@globo.com,@centroodontologicocarioca,29.396.611/0001-82,https://www.centroodontologicocarioca.com.br/,"Av. Rio Branco, 185 - Sala 213 - Centro, Rio de Janeiro - RJ, 20040-007, Brasil",4.8,https://www.google.com/maps/search/?api=1&query=Centro%20Odontol%C3%B3gico%20Carioca%20%7C%20Dentista%20Centro%20RJ&query_place_id=ChIJPSGJdGA5VgERHPxAM5hNi0I
6,DentalRio,Rio de Janeiro,Dentista,Fernando Andrade Carneiro,+55 21 99279-4180,dentalrio@dentalrio.com.br,,07.783.748/0001-57,http://www.dentalrio.com.br/,"Avenida das Américas, 500 Downtown Shopping, Bloco 22, Sala 214 - Portaria A - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brasil",4.5,https://www.google.com/maps/search/?api=1&query=DentalRio&query_place_id=ChIJYbia1qTQmwARuy0d2LhwNQ0
7,Clinica Odontológica Botafogo,Rio de Janeiro,Clínica odontológica,Patrizia Pedone,+55 21 2542-4548,,@dentistas_botafogo_rj,01.997.752/0001-31,http://www.cobodontologia.com.br/,"R. Assis Bueno, 01 - Botafogo, Rio de Janeiro - RJ, 22280-080, Brasil",5,https://www.google.com/maps/search/?api=1&query=Clinica%20Odontol%C3%B3gica%20Botafogo&query_place_id=ChIJX6tFr-R_mQARk8eDM3SbSp8
8,Clínica Odontológica Oral 360 Tijuca | Dentista Tijuca | Implantes Dentários,Rio de Janeiro,Clínica odontológica,Marcos Aparecido Goncalves Bessa,+55 21 99813-3001,diretoria@oral360.com.br,,18.755.347/0001-00,http://oral360.com.br/,"Rua Conde de Bonfim, 302 - 4º Andar - Tijuca, Rio de Janeiro - RJ, 20520-054, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Odontol%C3%B3gica%20Oral%20360%20Tijuca%20%7C%20Dentista%20Tijuca%20%7C%20Implantes%20Dent%C3%A1rios&query_place_id=ChIJq6p64UV-mQARdzrwPRUpt_I
9,Oral Unic Copacabana | Implantes Dentários | Clínica Odontológica | Dentistas Copacabana | Rio de Janeiro - RJ,Rio de Janeiro,Clínica odontológica,Dr. Guilherme Pontes,+55 21 3738-7971,recepcao@oraluniccopacabana.com.br,@oraluniccopacabana,,https://oraluniccopacabana.com.br/,"R. Barata Ribeiro, 578 - Copacabana, Rio de Janeiro - RJ, 22051-002, Brasil",4.7,https://www.google.com/maps/search/?api=1&query=Oral%20Unic%20Copacabana%20%7C%20Implantes%20Dent%C3%A1rios%20%7C%20Cl%C3%ADnica%20Odontol%C3%B3gica%20%7C%20Dentistas%20Copacabana%20%7C%20Rio%20de%20Janeiro%20-%20RJ&query_place_id=ChIJvW0XJArVmwARRpOANpG-eHI
10,Centraldente - Clínica Dentária no Centro,Rio de Janeiro,Dentista,,+55 21 97594-4830,centraldente@hotmail.com,@centraldenterj,,http://www.centraldenterj.com.br/,"R. Buenos Aires, 159 - Segundo Andar - Centro, Rio de Janeiro - RJ, 20070-021, Brasil",4.9,https://www.google.com/maps/search/?api=1&query=Centraldente%20-%20Cl%C3%ADnica%20Dent%C3%A1ria%20no%20Centro&query_place_id=ChIJa2aAZF1_mQARPaddO9WRApo
